"package_name","categories","is_essential","website_url","repo_url","date_added","notes"
"ggord","stats",FALSE,"https://fawda123.github.io/ggord/","https://github.com/fawda123/ggord/","1900-01-01",""
"ggordiplots","stats",FALSE,NA,"https://github.com/jfq3/ggordiplots/","1900-01-01",""
"ggoutlierscatterplot","geoms",FALSE,NA,"https://github.com/lukastay/ggoutlierscatterplot/","1900-01-01",""
"ggpackets","helpers",FALSE,"https://dgkf.github.io/ggpackets/","https://github.com/dgkf/ggpackets/","1900-01-01",""
"ggpage","geoms",FALSE,"https://emilhvitfeldt.github.io/ggpage/","https://github.com/EmilHvitfeldt/ggpage/","1900-01-01",""
"ggparallel","geoms",FALSE,NA,"https://github.com/heike/ggparallel/","1900-01-01",""
"ggparliament","geoms",FALSE,NA,"https://github.com/zmeers/ggparliament/","1900-01-01",""
"ggparty","geoms",FALSE,NA,"https://github.com/martin-borkovec/ggparty/","1900-01-01",""
"ggpath","finishing_touches",FALSE,"https://mrcaseb.github.io/ggpath/","https://github.com/mrcaseb/ggpath/","1900-01-01",""
"ggpattern","geoms|scales_and_guides",FALSE,"https://coolbutuseless.github.io/package/ggpattern/","https://github.com/coolbutuseless/ggpattern/","1900-01-01",""
"ggpcp","geoms",FALSE,"https://yaweige.github.io/ggpcp/","https://github.com/yaweige/ggpcp/","1900-01-01",""
"ggpercentogram","geoms",FALSE,NA,"https://github.com/eliocamp/ggpercentogram/","1900-01-01",""
"ggperiodic","scales_and_guides",FALSE,NA,"https://github.com/eliocamp/ggperiodic/","1900-01-01",""
"ggphylo","na",FALSE,NA,NA,"1900-01-01","No category in Notion export; Package appears unmaintained"
"ggpicrust2","stats",FALSE,"https://cafferychen777.github.io/ggpicrust2/","https://github.com/cafferychen777/ggpicrust2/","1900-01-01",""
"ggpie","geoms",FALSE,"https://showteeth.github.io/ggpie/","https://github.com/showteeth/ggpie/","1900-01-01",""
"ggpirate","geoms",FALSE,NA,"https://github.com/mikabr/ggpirate/","1900-01-01",""
"ggplate","geoms",FALSE,"https://jpquast.github.io/ggplate/","https://github.com/jpquast/ggplate/","1900-01-01",""
"ggplateplot","geoms",FALSE,NA,"https://github.com/teunbrand/ggplateplot/","1900-01-01",""
"ggplot.multistats","stats",FALSE,NA,"https://github.com/flying-sheep/ggplot.multistats/","1900-01-01",""
"ggplot2","na",FALSE,"https://ggplot2.tidyverse.org/","https://github.com/tidyverse/ggplot2/","1900-01-01","No category in Notion export"
"ggplot2.utils","geoms|stats",FALSE,"https://insightsengineering.github.io/ggplot2.utils/","https://github.com/insightsengineering/ggplot2.utils/","1900-01-01",""
"ggplot2movies","data",FALSE,NA,NA,"1900-01-01",""
"ggplotify","arranging_plots",FALSE,NA,"https://github.com/GuangchuangYu/ggplotify/","1900-01-01",""
"ggpmisc","annotations|stats",FALSE,"https://docs.r4photobiology.info/ggpmisc/","https://github.com/aphalo/ggpmisc/","1900-01-01",""
"ggpointdensity","geoms",FALSE,NA,"https://github.com/LKremer/ggpointdensity/","1900-01-01",""
"ggpointgrid","geoms",FALSE,NA,"https://github.com/nevrome/ggpointgrid/","1900-01-01",""
"ggpointless","annotations",FALSE,"https://flrd.github.io/ggpointless/","https://github.com/flrd/ggpointless/","1900-01-01",""
"ggpol","geoms",FALSE,"https://erocoar.github.io/ggpol/","https://github.com/erocoar/ggpol/","1900-01-01",""
"ggpolar","coords",FALSE,"https://shixiangwang.github.io/polar/","https://github.com/ShixiangWang/polar/","1900-01-01",""
"ggpolypath","geoms",FALSE,"https://mdsumner.github.io/ggpolypath/","https://github.com/mdsumner/ggpolypath/","1900-01-01",""
"ggpomological","themes",FALSE,"https://www.garrickadenbuie.com/project/ggpomological/","https://github.com/gadenbuie/ggpomological/","1900-01-01",""
"ggpp","annotations|stats",FALSE,"https://docs.r4photobiology.info/ggpp/","https://github.com/aphalo/ggpp/","1900-01-01",""
"ggprism","themes",FALSE,"https://csdaw.github.io/ggprism/","https://github.com/csdaw/ggprism/","1900-01-01",""
"ggpubfigs","na",FALSE,NA,"https://github.com/JLSteenwyk/ggpubfigs/","1900-01-01","No category in Notion export"
"ggpubr","arranging_plots|geoms|stats|themes",FALSE,"https://rpkgs.datanovia.com/ggpubr/","https://github.com/kassambara/ggpubr/","1900-01-01",""
"ggpval","annotations",FALSE,"https://s6juncheng.github.io/ggpval/","https://github.com/s6juncheng/ggpval/","1900-01-01",""
"ggqr","geoms",FALSE,NA,"https://github.com/coolbutuseless/ggqr/","1900-01-01",""
"ggquickeda","data|interactive_tools",FALSE,NA,"https://github.com/smouksassi/ggquickeda/","1900-01-01",""
"ggquiver","geoms",FALSE,"http://pkg.mitchelloharawild.com/ggquiver/","https://github.com/mitchelloharawild/ggquiver/","1900-01-01",""
"ggradar","geoms",FALSE,NA,"https://github.com/ricardo-bion/ggradar/","1900-01-01",""
"ggradar2","geoms",FALSE,NA,"https://github.com/xl0418/ggradar2/","1900-01-01",""
"ggragged","facets",FALSE,"https://mikmart.github.io/ggragged/","https://github.com/mikmart/ggragged/","1900-01-01",""
"ggrain","geoms",FALSE,"https://lcdlab.shinyapps.io/raincloudplots-shiny/","https://github.com/njudd/ggrain/","1900-01-01",""
"ggram","arranging_plots|finishing_touches",FALSE,NA,"https://github.com/EvaMaeRey/ggram/","1900-01-01",""
"ggraph","networks",FALSE,"https://ggraph.data-imaginist.com/","https://github.com/thomasp85/ggraph/","1900-01-01",""
"ggraptR","interactive_tools",FALSE,NA,"https://github.com/cargomoose/ggraptR/","1900-01-01",""
"ggrastr","geoms",FALSE,NA,"https://github.com/VPetukhov/ggrastr/","1900-01-01",""
"ggrepel","annotations",FALSE,"https://ggrepel.slowkow.com/","https://github.com/slowkow/ggrepel/","1900-01-01",""
"ggreverse","na",FALSE,NA,"https://github.com/coolbutuseless/ggreverse/","1900-01-01","No category in Notion export"
"ggrgl","interactive_tools",FALSE,"https://coolbutuseless.github.io/package/ggrgl/","https://github.com/coolbutuseless/ggrgl/","1900-01-01",""
"ggridges","geoms|scales_and_guides|themes",FALSE,"https://wilkelab.org/ggridges/","https://github.com/wilkelab/ggridges/","1900-01-01",""
"ggrisk","stats",FALSE,NA,"https://github.com/yikeshu0611/ggrisk/","1900-01-01",""
"ggrough","na",FALSE,NA,NA,"1900-01-01","No category in Notion export; Package appears unmaintained"
"ggrounded","geoms",FALSE,"https://botan.github.io/ggrounded/","https://github.com/botan/ggrounded/","1900-01-01",""
"ggsankey","networks",FALSE,NA,"https://github.com/davidsjoberg/ggsankey/","1900-01-01",""
"ggsci","scales_and_guides",FALSE,"https://nanx.me/ggsci/","https://github.com/nanxstats/ggsci/","1900-01-01",""
"ggseas","stats",FALSE,NA,"https://github.com/ellisp/ggseas/","1900-01-01",""
"ggsector","geoms",FALSE,NA,"https://github.com/yanpd01/ggsector/","1900-01-01",""
"ggseg","geoms",FALSE,"https://ggseg.github.io/ggseg/","https://github.com/ggseg/ggseg/","1900-01-01",""
"ggseqlogo","geoms",FALSE,"https://omarwagih.github.io/ggseqlogo/","https://github.com/omarwagih/ggseqlogo/","1900-01-01",""
"ggseqplot","geoms",FALSE,"https://maraab23.github.io/ggseqplot/","https://github.com/maraab23/ggseqplot/","1900-01-01",""
"ggsflabel","na",FALSE,NA,NA,"1900-01-01","No category in Notion export; Package appears unmaintained"
"ggshadow","geoms",FALSE,NA,"https://github.com/marcmenem/ggshadow/","1900-01-01",""
"ggshakeR","sports",FALSE,"https://abhiamishra.github.io/ggshakeR/","https://github.com/abhiamishra/ggshakeR/","1900-01-01",""
"ggside","arranging_plots",FALSE,NA,"https://github.com/jtlandis/ggside/","1900-01-01",""
"ggsignif","annotations",FALSE,"https://const-ae.github.io/ggsignif/","https://github.com/const-ae/ggsignif/","1900-01-01",""
"ggsn","maps",FALSE,"http://oswaldosantos.github.io/ggsn/","https://github.com/oswaldosantos/ggsn/","1900-01-01",""
"ggsoccer","sports",FALSE,"https://torvaney.github.io/ggsoccer/","https://github.com/Torvaney/ggsoccer/","1900-01-01",""
"ggsolar","maps",FALSE,"https://rud.is/b/2023/04/12/make-solar-system-plots-with-ggsolar/","https://github.com/hrbrmstr/ggsolar/","1900-01-01",""
"ggsolvencyii","annotations",FALSE,NA,"https://github.com/vanzanden/ggsolvencyii/","1900-01-01",""
"ggsom","geoms",FALSE,NA,"https://github.com/oldlipe/ggsom/","1900-01-01",""
"ggspatial","maps",FALSE,"https://paleolimbot.github.io/ggspatial/","https://github.com/paleolimbot/ggspatial/","1900-01-01",""
"ggspavis","geoms",FALSE,NA,"https://github.com/lmweber/ggspavis/","1900-01-01",""
"ggspectra","scales_and_guides",FALSE,"https://docs.r4photobiology.info/ggspectra/","https://github.com/aphalo/ggspectra/","1900-01-01",""
"ggstamp","annotations",FALSE,"https://evamaerey.github.io/ggstamp/","https://github.com/evamaerey/ggstamp/","1900-01-01",""
"ggstance","na",FALSE,NA,NA,"1900-01-01","No category in Notion export; Package appears unmaintained"
"ggstar","finishing_touches",FALSE,NA,"https://github.com/xiangpin/ggstar/","1900-01-01",""
"ggstats","geoms|stats",FALSE,"https://larmarange.github.io/ggstats/","https://github.com/larmarange/ggstats/","1900-01-01",""
"ggstatsplot","stats",FALSE,"https://indrajeetpatil.github.io/ggstatsplot/","https://github.com/IndrajeetPatil/ggstatsplot/","1900-01-01",""
"ggstraw","geoms",FALSE,NA,"https://github.com/nacnudus/ggstraw/","1900-01-01",""
"ggstream","geoms",FALSE,NA,"https://github.com/davidsjoberg/ggstream/","1900-01-01",""
"ggsubplot","na",FALSE,NA,NA,"1900-01-01","No category in Notion export; Package appears unmaintained"
"ggsunburst","python",FALSE,NA,"https://github.com/didacs/ggsunburst/","1900-01-01",""
"ggsurvey","stats",FALSE,NA,"https://github.com/5ayat/ggsurvey/","1900-01-01",""
"ggsurvfit","stats",FALSE,"https://www.danieldsjoberg.com/ggsurvfit/","https://github.com/pharmaverse/ggsurvfit/","1900-01-01",""
"ggsvg","geoms",FALSE,"https://coolbutuseless.github.io/package/ggsvg/","https://github.com/coolbutuseless/ggsvg/","1900-01-01",""
"ggswim","geoms",FALSE,"https://chop-cgtinformatics.github.io/ggswim/","https://github.com/CHOP-CGTInformatics/ggswim/","1900-01-01",""
"ggswissmaps","maps",FALSE,NA,"https://github.com/gibonet/ggswissmaps/","1900-01-01",""
"ggtda","stats",FALSE,"https://tdaverse.github.io/ggtda/","https://github.com/tdaverse/ggtda/","1900-01-01",""
"ggtech","themes",FALSE,NA,"https://github.com/ricardo-bion/ggtech/","1900-01-01",""
"ggtern","coords",FALSE,NA,"https://bitbucket.org/nicholasehamilton/ggtern/","1900-01-01",""
"ggterror","na",FALSE,NA,NA,"1900-01-01","No category in Notion export; Package appears unmaintained"
"ggtext","themes",FALSE,"https://wilkelab.org/ggtext/","https://github.com/wilkelab/ggtext/","1900-01-01",""
"ggtextures","geoms",FALSE,NA,"https://github.com/clauswilke/ggtextures/","1900-01-01",""
"ggthemes","themes",FALSE,"https://jrnold.github.io/ggthemes/","https://github.com/jrnold/ggthemes/","1900-01-01",""
"ggthemr","themes",FALSE,NA,"https://github.com/Mikata-Project/ggthemr/","1900-01-01",""
"ggthreed","geoms",FALSE,NA,"https://github.com/coolbutuseless/ggthreed/","1900-01-01",""
"ggtikz","annotations",FALSE,"https://github.com/osthomas/ggtikz/blob/devel/doc/examples.pdf","https://github.com/osthomas/ggtikz/","1900-01-01",""
"ggtime","helpers",FALSE,"https://pkg.mitchelloharawild.com/ggtime/","https://github.com/tidyverts/ggtime/","1900-01-01",""
"ggtips","interactive_tools",FALSE,"https://jcubic.shinyapps.io/ggtips/","https://github.com/marcin-kam/ggtips/","1900-01-01",""
"ggtrace","geoms|helpers",FALSE,"https://rnabioco.github.io/ggtrace/","https://github.com/rnabioco/ggtrace/","1900-01-01",""
"ggtrack","finishing_touches",FALSE,"https://restlessdata.au/ggtrack/","https://github.com/mrjoh3/ggtrack/","1900-01-01",""
"ggtranscript","geoms",FALSE,"https://dzhang32.github.io/ggtranscript/","https://github.com/dzhang32/ggtranscript/","1900-01-01",""
